iter	Passed	Remaining
663	50339	25472
664	50378	25378
665	50467	25309
666	50559	25241
667	50730	25213
668	50787	25128
669	50872	25056
670	50919	24966
671	50976	24881
672	51042	24800
673	51112	24722
674	51171	24638
675	51234	24555
676	51300	24475
677	51356	24390
678	51450	24323
679	51522	24245
680	51584	24163
681	51749	24129
682	51814	24048
683	51872	23964
684	51934	23882
685	51982	23793
686	52115	23744
687	52172	23659
688	52274	23595
689	52406	23544
690	52472	23464
691	52591	23407
692	52650	23324
693	52700	23236
694	52760	23153
695	52910	23110
696	52959	23022
697	53029	22944
698	53184	22902
699	53256	22824
700	53392	22773
701	53504	22712
702	53610	22648
703	53679	22569
704	53734	22484
705	53841	22421
706	53900	22337
707	53961	22255
708	54021	22172
709	54081	22089
710	54141	22006
711	54203	21924
712	54350	21877
713	54459	21814
714	54592	21760
715	54656	21679
716	54725	21600
717	54783	21516
718	54842	21433
719	54893	21347
720	54953	21265
721	55105	21217
722	55232	21161
723	55417	21126
724	55503	21052
725	55645	21001
726	55699	20915
727	55752	20830
728	55856	20764
729	55911	20679
730	55966	20595
731	56076	20530
732	56139	20449
733	56193	20364
734	56251	20281
735	56305	20196
736	56361	20112
737	56488	20054
738	56548	19971
739	56606	19888
740	56734	19830
741	56784	19744
742	56842	19661
743	56912	19582
744	56993	19508
745	57027	19417
746	57083	19333
747	57255	19289
748	57415	19240
749	57568	19189
750	57650	19114
751	57714	19033
752	57771	18950
753	57829	18867
754	57875	18780
755	57977	18712
756	58034	18629
757	58115	18554
758	58166	18469
759	58225	18386
760	58282	18304
761	58336	18220
762	58397	18139
763	58467	18060
764	58518	17976
765	58597	17900
766	58652	17817
767	58704	17733
768	58753	17649
769	58803	17564
770	58857	17481
771	58947	17409
772	59002	17326
773	59060	17244
774	59161	17175
775	59210	17091
776	59272	17011
777	59334	16930
778	59443	16863
779	59508	16784
780	59594	16710
781	59717	16647
782	59773	16565
783	59850	16489
784	59907	16407
785	59965	16326
786	60025	16245
787	60080	16163
788	60181	16094
789	60237	16012
790	60275	15926
791	60335	15845
792	60392	15764
793	60447	15682
794	60487	15597
795	60569	15522
796	60617	15439
797	60740	15375
798	60803	15295
799	60890	15222
800	60961	15145
801	61014	15063
802	61066	14981
803	61121	14900
804	61160	14815
805	61274	14748
806	61376	14678
807	61432	14597
808	61492	14517
809	61549	14437
810	61622	14360
811	61680	14280
812	61748	14202
813	61808	14123
814	61866	14043
815	61936	13966
816	62030	13894
817	62144	13826
818	62220	13750
819	62284	13672
820	62403	13605
821	62511	13536
822	62662	13476
823	62808	13415
824	62874	13337
825	62934	13257
826	63027	13184
827	63090	13105
828	63158	13027
829	63265	12957
830	63324	12878
831	63449	12811
832	63522	12734
833	63580	12655
834	63713	12590
835	63791	12514
836	63935	12451
837	63992	12370
838	64125	12305
839	64198	12228
840	64351	12166
841	64468	12097
842	64543	12020
843	64609	11941
844	64750	11877
845	64836	11802
846	64894	11722
847	65061	11661
848	65126	11583
849	65269	11518
850	65399	11450
851	65475	11373
852	65533	11293
853	65591	11213
854	65717	11145
855	65787	11067
856	65839	10985
857	65918	10909
858	65975	10829
859	66111	10762
860	66291	10702
861	66394	10629
862	66464	10551
863	66584	10480
864	66636	10399
865	66790	10334
866	66919	10265
867	67066	10199
868	67135	10120
869	67203	10041
870	67255	9960
871	67319	9881
872	67405	9805
873	67546	9737
874	67608	9658
875	67740	9588
876	67801	9509
877	67854	9428
878	67923	9350
879	68022	9275
880	68084	9196
881	68132	9115
882	68230	9040
883	68283	8960
884	68326	8878
885	68419	8803
886	68464	8722
887	68516	8641
888	68583	8563
889	68637	8483
890	68689	8403
891	68765	8325
892	68896	8255
893	68954	8175
894	69024	8097
895	69083	8018
896	69166	7942
897	69228	7863
898	69280	7783
899	69342	7704
900	69403	7625
901	69498	7550
902	69561	7472
903	69628	7394
904	69695	7316
905	69755	7237
906	69808	7157
907	69886	7080
908	70023	7010
909	70089	6931
910	70226	6860
911	70291	6782
912	70334	6702
913	70386	6622
914	70442	6543
915	70558	6470
916	70619	6391
917	70675	6313
918	70736	6234
919	70799	6156
920	70935	6084
921	71016	6007
922	71149	5935
923	71208	5856
924	71269	5778
925	71319	5699
926	71375	5620
927	71449	5543
928	71520	5466
929	71649	5392
930	71743	5317
931	71826	5240
932	71892	5162
933	71933	5083
934	72032	5007
935	72135	4932
936	72204	4854
937	72265	4776
938	72323	4698
939	72381	4620
940	72473	4544
941	72567	4468
942	72631	4390
943	72685	4311
944	72792	4236
945	72848	4158
946	72906	4080
947	72989	4003
948	73049	3925
949	73109	3847
950	73173	3770
951	73241	3692
952	73285	3614
953	73344	3536
954	73404	3458
955	73468	3381
956	73529	3303
957	73608	3227
958	73667	3149
959	73755	3073
960	73826	2996
961	73886	2918
962	73995	2843
963	74053	2765
964	74119	2688
965	74180	2610
966	74295	2535
967	74349	2457
968	74435	2381
969	74495	2303
970	74553	2226
971	74611	2149
972	74716	2073
973	74779	1996
974	74846	1919
975	74904	1841
976	74964	1764
977	75130	1690
978	75189	1612
979	75250	1535
980	75342	1459
981	75416	1382
982	75464	1305
983	75529	1228
984	75585	1151
985	75648	1074
986	75714	997
987	75778	920
988	75843	843
989	75900	766
990	75957	689
991	76011	612
992	76077	536
993	76133	459
994	76194	382
995	76252	306
996	76319	229
997	76377	153
998	76482	76
999	76542	0
